CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Amalapuram B.O,531117,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5847094,82.5909874
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Bodapalem B.O,531117,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5453808,82.6051230
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Cherlopalem B.O,531117,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5533333,82.5875376
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Kothaballuguda B.O,531149,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.2715590,82.9270170
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Madala B.O,531149,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3530040,82.8800870
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gasaba B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.4180306,82.8378635
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Korra B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.2160066,82.8135433
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Korrai B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3788550,82.8590700
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Layaganda B.O,531151,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3645110,82.8802160
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chodapalle B.O,531011,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5730405,82.9807197
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Dosuru B.O,531011,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.5482873,83.0344892
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Arjunagiri B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9108673,82.9351917
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chakipalle B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7691393,82.9307578
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Damunapalle B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8448370,82.8990510
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gogada Kothapalle B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9056290,82.9000670
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gowripatnam B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8180410,82.9124670
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Jannavaram B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7625280,82.9039480
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pakeersahebpeta B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7812450,82.9205130
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pedagogada B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8912200,82.9052350
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Rajam B.O,531036,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7369420,82.8930470
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pedakota B.O,531030,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.0623390,82.9432580
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Pedanandipalle Agraharam B.O,531030,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9241340,82.9845430
